include_mode	cohort	organism	year	snapshot_id	phenotype_file	viability_file	gaf_file	go_obo_file	phenotype_ontology_file	phenotype_release	go_annotation_release	go_ontology_release	phenotype_ontology_release	label_source	nonlethal_policy	mixed_label_policy	ambiguous_label_policy	retrieval_date	notes
required	primary	fish	2025	fish-2025	data/fish/phenotype_data/zfin/2025/phenoGeneCleanData_fish.txt.gz		data/fish/gene_association/go_archive/2025/zfin.gaf.gz	data/go/2025/go-basic_2025-02-06.obo.gz		ZFIN phenotype 2025	GO release 2025-01-01	GO basic 2025-02-06		release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed nonlethal phenotype evidence.
required	primary	fly	2015	fly-2015	data/fly/phenotype_data/fb/2015/allele_phenotypic_data_fb_2015_01.tsv.gz		data/fly/gene_association/go_archive/2015/fb.gaf.gz	data/go/2015/go-basic_2015-01-01.obo.gz		FlyBase fb_2015_01	GO release 2015-01-01	GO basic 2015-01-01	FlyBase fb_2015_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2016	fly-2016	data/fly/phenotype_data/fb/2016/allele_phenotypic_data_fb_2016_01.tsv.gz		data/fly/gene_association/go_archive/2016/fb.gaf.gz	data/go/2016/go-basic_2016-01-01.obo.gz		FlyBase fb_2016_01	GO release 2016-01-01	GO basic 2016-01-01	FlyBase fb_2016_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2017	fly-2017	data/fly/phenotype_data/fb/2017/allele_phenotypic_data_fb_2017_01.tsv.gz		data/fly/gene_association/go_archive/2017/fb.gaf.gz	data/go/2017/go-basic_2017-01-01.obo.gz		FlyBase fb_2017_01	GO release 2017-01-01	GO basic 2017-01-01	FlyBase fb_2017_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2018	fly-2018	data/fly/phenotype_data/fb/2018/allele_phenotypic_data_fb_2018_01.tsv.gz		data/fly/gene_association/go_archive/2018/fb.gaf.gz	data/go/2018/go-basic_2018-01-01.obo.gz		FlyBase fb_2018_01	GO release 2018-01-01	GO basic 2018-01-01	FlyBase fb_2018_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2019	fly-2019	data/fly/phenotype_data/fb/2019/allele_phenotypic_data_fb_2019_01.tsv.gz		data/fly/gene_association/go_archive/2019/fb.gaf.gz	data/go/2019/go-basic_2019-01-01.obo.gz		FlyBase fb_2019_01	GO release 2019-01-01	GO basic 2019-01-01	FlyBase fb_2019_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2020	fly-2020	data/fly/phenotype_data/fb/2020/allele_phenotypic_data_fb_2020_01.tsv.gz		data/fly/gene_association/go_archive/2020/fb.gaf.gz	data/go/2020/go-basic_2020-01-01.obo.gz		FlyBase fb_2020_01	GO release 2020-01-01	GO basic 2020-01-01	FlyBase fb_2020_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2021	fly-2021	data/fly/phenotype_data/fb/2021/allele_phenotypic_data_fb_2021_01.tsv.gz		data/fly/gene_association/go_archive/2021/fb.gaf.gz	data/go/2021/go-basic_2021-01-01.obo.gz		FlyBase fb_2021_01	GO release 2021-01-01	GO basic 2021-01-01	FlyBase fb_2021_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2022	fly-2022	data/fly/phenotype_data/fb/2022/allele_phenotypic_data_fb_2022_01.tsv.gz		data/fly/gene_association/go_archive/2022/fb.gaf.gz	data/go/2022/go-basic_2022-01-13.obo.gz		FlyBase fb_2022_01	GO release 2022-01-01	GO basic 2022-01-13	FlyBase fb_2022_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2023	fly-2023	data/fly/phenotype_data/fb/2023/genotype_phenotype_data_fb_2023_01.tsv.gz		data/fly/gene_association/go_archive/2023/fb.gaf.gz	data/go/2023/go-basic_2023-01-01.obo.gz		FlyBase fb_2023_01	GO release 2023-01-01	GO basic 2023-01-01	FlyBase fb_2023_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2024	fly-2024	data/fly/phenotype_data/fb/2024/genotype_phenotype_data_fb_2024_01.tsv.gz		data/fly/gene_association/go_archive/2024/fb.gaf.gz	data/go/2024/go-basic_2024-01-17.obo.gz		FlyBase fb_2024_01	GO release 2024-01-01	GO basic 2024-01-17	FlyBase fb_2024_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	fly	2025	fly-2025	data/fly/phenotype_data/fb/2025/genotype_phenotype_data_fb_2025_01.tsv.gz		data/fly/gene_association/go_archive/2025/fb.gaf.gz	data/go/2025/go-basic_2025-02-06.obo.gz		FlyBase fb_2025_01	GO release 2025-01-01	GO basic 2025-02-06	FlyBase fb_2025_01	release_records	explicit_only	exclude	exclude	2026-07-22	Taxon assignments are derived from taxon:7227 records in the release GAF.
required	primary	mouse	2015	mouse-2015		data/mouse/viable_genes/ebi/2015/viability.csv	data/mouse/gene_association/go_archive/2015/mgi.gaf.gz	data/go/2015/go-basic_2015-01-01.obo.gz		IMPC viability 2015	GO release 2015-01-01	GO basic 2015-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2016	mouse-2016		data/mouse/viable_genes/ebi/2016/viabilityReport.csv	data/mouse/gene_association/go_archive/2016/mgi.gaf.gz	data/go/2016/go-basic_2016-01-01.obo.gz		IMPC viability 2016	GO release 2016-01-01	GO basic 2016-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2017	mouse-2017		data/mouse/viable_genes/ebi/2017/viabilityReport.csv	data/mouse/gene_association/go_archive/2017/mgi.gaf.gz	data/go/2017/go-basic_2017-01-01.obo.gz		IMPC viability 2017	GO release 2017-01-01	GO basic 2017-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2018	mouse-2018		data/mouse/viable_genes/ebi/2018/viabilityReport.csv	data/mouse/gene_association/go_archive/2018/mgi.gaf.gz	data/go/2018/go-basic_2018-01-01.obo.gz		IMPC viability 2018	GO release 2018-01-01	GO basic 2018-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2019	mouse-2019		data/mouse/viable_genes/ebi/2019/viabilityReport.csv	data/mouse/gene_association/go_archive/2019/mgi.gaf.gz	data/go/2019/go-basic_2019-01-01.obo.gz		IMPC viability 2019	GO release 2019-01-01	GO basic 2019-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2020	mouse-2020		data/mouse/viable_genes/ebi/2020/viabilityReport.csv	data/mouse/gene_association/go_archive/2020/mgi.gaf.gz	data/go/2020/go-basic_2020-01-01.obo.gz		IMPC viability 2020	GO release 2020-01-01	GO basic 2020-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2021	mouse-2021		data/mouse/viable_genes/ebi/2021/viability.csv.gz	data/mouse/gene_association/go_archive/2021/mgi.gaf.gz	data/go/2021/go-basic_2021-01-01.obo.gz		IMPC viability 2021	GO release 2021-01-01	GO basic 2021-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2022	mouse-2022		data/mouse/viable_genes/ebi/2022/viability.csv.gz	data/mouse/gene_association/go_archive/2022/mgi.gaf.gz	data/go/2022/go-basic_2022-01-13.obo.gz		IMPC viability 2022	GO release 2022-01-01	GO basic 2022-01-13		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2023	mouse-2023		data/mouse/viable_genes/ebi/2023/viability.csv.gz	data/mouse/gene_association/go_archive/2023/mgi.gaf.gz	data/go/2023/go-basic_2023-01-01.obo.gz		IMPC viability 2023	GO release 2023-01-01	GO basic 2023-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2024	mouse-2024		data/mouse/viable_genes/ebi/2024/viability.csv.gz	data/mouse/gene_association/go_archive/2024/mgi.gaf.gz	data/go/2024/go-basic_2024-01-17.obo.gz		IMPC viability 2024	GO release 2024-01-01	GO basic 2024-01-17		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	mouse	2025	mouse-2025		data/mouse/viable_genes/ebi/2025/viability.csv.gz	data/mouse/gene_association/go_archive/2025/mgi.gaf.gz	data/go/2025/go-basic_2025-02-06.obo.gz		IMPC viability 2025	GO release 2025-01-01	GO basic 2025-02-06		gene_sets	explicit_only	exclude	exclude	2026-07-22	Subviable and conflicting calls are excluded from paired annual gene sets.
required	primary	worm	2015	worm-WS247	data/worm/phenotype_data/wb/2015/phenotype_association.WS247.wb.clean.col7.gz		data/worm/gene_association/go_archive/2015/wb.gaf.gz	data/go/2015/go-basic_2015-01-01.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS247.obo.gz	WormBase WS247	GO release 2015-01-01	GO basic 2015-01-01	WormBase phenotype ontology WS247	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2016	worm-WS250	data/worm/phenotype_data/wb/2016/phenotype_association.WS250.wb.clean.col7.gz		data/worm/gene_association/go_archive/2016/wb.gaf.gz	data/go/2016/go-basic_2016-01-01.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS250.obo.gz	WormBase WS250	GO release 2016-01-01	GO basic 2016-01-01	WormBase phenotype ontology WS250	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2017	worm-WS257	data/worm/phenotype_data/wb/2017/phenotype_association.WS257.wb.clean.col7.gz		data/worm/gene_association/go_archive/2017/wb.gaf.gz	data/go/2017/go-basic_2017-01-01.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS257.obo.gz	WormBase WS257	GO release 2017-01-01	GO basic 2017-01-01	WormBase phenotype ontology WS257	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2018	worm-WS262	data/worm/phenotype_data/wb/2018/phenotype_association.WS262.wb.clean.col7.gz		data/worm/gene_association/go_archive/2018/wb.gaf.gz	data/go/2018/go-basic_2018-01-01.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS262.obo.gz	WormBase WS262	GO release 2018-01-01	GO basic 2018-01-01	WormBase phenotype ontology WS262	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2019	worm-WS270	data/worm/phenotype_data/wb/2019/phenotype_association.WS270.wb.clean.col7.gz		data/worm/gene_association/go_archive/2019/wb.gaf.gz	data/go/2019/go-basic_2019-01-01.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS270.obo.gz	WormBase WS270	GO release 2019-01-01	GO basic 2019-01-01	WormBase phenotype ontology WS270	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2020	worm-WS275	data/worm/phenotype_data/wb/2020/phenotype_association.WS275.wb.clean.col7.gz		data/worm/gene_association/go_archive/2020/wb.gaf.gz	data/go/2020/go-basic_2020-01-01.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS275.obo.gz	WormBase WS275	GO release 2020-01-01	GO basic 2020-01-01	WormBase phenotype ontology WS275	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2021	worm-WS279	data/worm/phenotype_data/wb/2021/phenotype_association.WS279.wb.clean.col7.gz		data/worm/gene_association/go_archive/2021/wb.gaf.gz	data/go/2021/go-basic_2021-01-01.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS279.obo.gz	WormBase WS279	GO release 2021-01-01	GO basic 2021-01-01	WormBase phenotype ontology WS279	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2022	worm-WS284	data/worm/phenotype_data/wb/2022/phenotype_association.WS284.wb.clean.col7.gz		data/worm/gene_association/go_archive/2022/wb.gaf.gz	data/go/2022/go-basic_2022-01-13.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS284.obo.gz	WormBase WS284	GO release 2022-01-01	GO basic 2022-01-13	WormBase phenotype ontology WS284	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2023	worm-WS287	data/worm/phenotype_data/wb/2023/phenotype_association.WS287.wb.clean.col7.gz		data/worm/gene_association/go_archive/2023/wb.gaf.gz	data/go/2023/go-basic_2023-01-01.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS287.obo.gz	WormBase WS287	GO release 2023-01-01	GO basic 2023-01-01	WormBase phenotype ontology WS287	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2024	worm-WS292	data/worm/phenotype_data/wb/2024/phenotype_association.WS292.wb.clean.col7.gz		data/worm/gene_association/go_archive/2024/wb.gaf.gz	data/go/2024/go-basic_2024-01-17.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS292.obo.gz	WormBase WS292	GO release 2024-01-01	GO basic 2024-01-17	WormBase phenotype ontology WS292	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	worm	2025	worm-WS297	data/worm/phenotype_data/wb/2025/phenotype_association.WS297.wb.clean.col7.gz		data/worm/gene_association/go_archive/2025/wb.gaf.gz	data/go/2025/go-basic_2025-02-06.obo.gz	data/worm/phenotype_data/PO/phenotype_ontology.WS297.obo.gz	WormBase WS297	GO release 2025-01-01	GO basic 2025-02-06	WormBase phenotype ontology WS297	release_records	observed_viable	lethal_wins	exclude	2026-07-22	Operational viable class means observed phenotype evidence outside lethal ontology descendants.
required	primary	yeast	2015	yeast-2015	data/yeast/phenotype_data/sgd/2015/phenotype_data.20150103.tab.gz		data/yeast/gene_association/go_archive/2015/sgd.gaf.gz	data/go/2015/go-basic_2015-01-01.obo.gz		SGD phenotype 2015-01-03	GO release 2015-01-01	GO basic 2015-01-01		release_records	explicit_only	exclude	exclude	2026-07-22	Only years with archived SGD phenotype files are in the primary cohort.
required	primary	yeast	2016	yeast-2016	data/yeast/phenotype_data/sgd/2016/phenotype_data.20160102.tab.gz		data/yeast/gene_association/go_archive/2016/sgd.gaf.gz	data/go/2016/go-basic_2016-01-01.obo.gz		SGD phenotype 2016-01-02	GO release 2016-01-01	GO basic 2016-01-01		release_records	explicit_only	exclude	exclude	2026-07-22	Only years with archived SGD phenotype files are in the primary cohort.
required	primary	yeast	2017	yeast-2017	data/yeast/phenotype_data/sgd/2017/phenotype_data.20170107.tab.gz		data/yeast/gene_association/go_archive/2017/sgd.gaf.gz	data/go/2017/go-basic_2017-01-01.obo.gz		SGD phenotype 2017-01-07	GO release 2017-01-01	GO basic 2017-01-01		release_records	explicit_only	exclude	exclude	2026-07-22	Only years with archived SGD phenotype files are in the primary cohort.
required	primary	yeast	2024	yeast-2024	data/yeast/phenotype_data/sgd/2024/phenotype_data.tab_20240802.gz		data/yeast/gene_association/go_archive/2024/sgd.gaf.gz	data/go/2024/go-basic_2024-01-17.obo.gz		SGD phenotype 2024-08-02	GO release 2024-01-01	GO basic 2024-01-17		release_records	explicit_only	exclude	exclude	2026-07-22	Only years with archived SGD phenotype files are in the primary cohort.
required	primary	yeast	2025	yeast-2025	data/yeast/phenotype_data/sgd/2025/phenotype_data.tab_20250103.gz		data/yeast/gene_association/go_archive/2025/sgd.gaf.gz	data/go/2025/go-basic_2025-02-06.obo.gz		SGD phenotype 2025-01-03	GO release 2025-01-01	GO basic 2025-02-06		release_records	explicit_only	exclude	exclude	2026-07-22	Only years with archived SGD phenotype files are in the primary cohort.
optional	annotation_anchor	fish	2010	fish-2010-fixed2025			data/fish/gene_association/go_archive/2010/zfin.gaf.gz	data/go/2010/go_2010-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2010-01-01	GO full ontology 2010-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2010.
optional	annotation_anchor	fly	2010	fly-2010-fixed2025			data/fly/gene_association/go_archive/2010/fb.gaf.gz	data/go/2010/go_2010-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2010-01-01	GO full ontology 2010-01-01	FlyBase derived from GO 2010 GAF	gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2010.
optional	annotation_anchor	mouse	2010	mouse-2010-fixed2025			data/mouse/gene_association/go_archive/2010/mgi.gaf.gz	data/go/2010/go_2010-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2010-01-01	GO full ontology 2010-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2010.
optional	annotation_anchor	worm	2010	worm-2010-fixed2025			data/worm/gene_association/go_archive/2010/wb.gaf.gz	data/go/2010/go_2010-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2010-01-01	GO full ontology 2010-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2010.
optional	annotation_anchor	yeast	2010	yeast-2010-fixed2025			data/yeast/gene_association/go_archive/2010/sgd.gaf.gz	data/go/2010/go_2010-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2010-01-01	GO full ontology 2010-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2010.
optional	annotation_anchor	fish	2011	fish-2011-fixed2025			data/fish/gene_association/go_archive/2011/zfin.gaf.gz	data/go/2011/go_2011-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2011-01-01	GO full ontology 2011-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2011.
optional	annotation_anchor	fly	2011	fly-2011-fixed2025			data/fly/gene_association/go_archive/2011/fb.gaf.gz	data/go/2011/go_2011-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2011-01-01	GO full ontology 2011-01-01	FlyBase derived from GO 2011 GAF	gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2011.
optional	annotation_anchor	mouse	2011	mouse-2011-fixed2025			data/mouse/gene_association/go_archive/2011/mgi.gaf.gz	data/go/2011/go_2011-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2011-01-01	GO full ontology 2011-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2011.
optional	annotation_anchor	worm	2011	worm-2011-fixed2025			data/worm/gene_association/go_archive/2011/wb.gaf.gz	data/go/2011/go_2011-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2011-01-01	GO full ontology 2011-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2011.
optional	annotation_anchor	yeast	2011	yeast-2011-fixed2025			data/yeast/gene_association/go_archive/2011/sgd.gaf.gz	data/go/2011/go_2011-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2011-01-01	GO full ontology 2011-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2011.
optional	annotation_anchor	fish	2012	fish-2012-fixed2025			data/fish/gene_association/go_archive/2012/zfin.gaf.gz	data/go/2012/go_2012-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2012-01-01	GO full ontology 2012-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2012.
optional	annotation_anchor	fly	2012	fly-2012-fixed2025			data/fly/gene_association/go_archive/2012/fb.gaf.gz	data/go/2012/go_2012-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2012-01-01	GO full ontology 2012-01-01	FlyBase derived from GO 2012 GAF	gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2012.
optional	annotation_anchor	mouse	2012	mouse-2012-fixed2025			data/mouse/gene_association/go_archive/2012/mgi.gaf.gz	data/go/2012/go_2012-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2012-01-01	GO full ontology 2012-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2012.
optional	annotation_anchor	worm	2012	worm-2012-fixed2025			data/worm/gene_association/go_archive/2012/wb.gaf.gz	data/go/2012/go_2012-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2012-01-01	GO full ontology 2012-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2012.
optional	annotation_anchor	yeast	2012	yeast-2012-fixed2025			data/yeast/gene_association/go_archive/2012/sgd.gaf.gz	data/go/2012/go_2012-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2012-01-01	GO full ontology 2012-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	Fixed-label is_a anchor; no simplified GO ontology was released for 2012.
optional	annotation_anchor	fish	2013	fish-2013-fixed2025			data/fish/gene_association/go_archive/2013/zfin.gaf.gz	data/go/2013/go-simple_2013-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2013-01-01	GO simple 2013-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	First go-simple anchor; retained only in the fixed-label is_a series.
optional	annotation_anchor	fly	2013	fly-2013-fixed2025			data/fly/gene_association/go_archive/2013/fb.gaf.gz	data/go/2013/go-simple_2013-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2013-01-01	GO simple 2013-01-01	FlyBase derived from GO 2013 GAF	gene_sets	explicit_only	exclude	exclude	2026-07-22	First go-simple anchor; retained only in the fixed-label is_a series.
optional	annotation_anchor	mouse	2013	mouse-2013-fixed2025			data/mouse/gene_association/go_archive/2013/mgi.gaf.gz	data/go/2013/go-simple_2013-01-01.obo.gz		Fixed 2025 PhenGO labels	GO release 2013-01-01	GO simple 2013-01-01		gene_sets	explicit_only	exclude	exclude	2026-07-22	First go-simple anchor; retained only in the fixed-label is_a series.
