data_status	track	organism	year	go_id	go_name	odds_ratio	fdr	minus_log10_fdr	lethal_gene_count
synthetic_mock_not_results	primary	worm	2024	GO:0006412	translation	2.3497	0.0118	1.9281	27
synthetic_mock_not_results	primary	worm	2025	GO:0006412	translation	2.7645	0.0030	2.5207	31
synthetic_mock_not_results	primary	worm	2015	GO:0006915	apoptotic process	2.4768	0.0078	2.1097	29
synthetic_mock_not_results	primary	worm	2016	GO:0006915	apoptotic process	1.9256	0.0476	1.3223	24
synthetic_mock_not_results	primary	worm	2017	GO:0006915	apoptotic process	1.3473	0.3190	0.4962	18
synthetic_mock_not_results	primary	worm	2018	GO:0006915	apoptotic process	1.0000	1.0000	0.0000	15
synthetic_mock_not_results	primary	worm	2019	GO:0006915	apoptotic process	1.0000	1.0000	0.0000	15
synthetic_mock_not_results	primary	worm	2020	GO:0006915	apoptotic process	1.0000	1.0000	0.0000	15
synthetic_mock_not_results	primary	worm	2021	GO:0006915	apoptotic process	1.4572	0.2223	0.6531	19
synthetic_mock_not_results	primary	worm	2022	GO:0006915	apoptotic process	2.0453	0.0321	1.4933	25
synthetic_mock_not_results	primary	worm	2023	GO:0006915	apoptotic process	2.5685	0.0057	2.2408	30
synthetic_mock_not_results	primary	worm	2024	GO:0006915	apoptotic process	2.8614	0.0022	2.6591	33
synthetic_mock_not_results	primary	worm	2025	GO:0006915	apoptotic process	2.8313	0.0024	2.6161	33
synthetic_mock_not_results	primary	worm	2015	GO:0006096	glycolytic process	1.6537	0.1165	0.9338	22
synthetic_mock_not_results	primary	worm	2016	GO:0006096	glycolytic process	1.1255	0.6618	0.1793	17
synthetic_mock_not_results	primary	worm	2017	GO:0006096	glycolytic process	1.0000	1.0000	0.0000	16
synthetic_mock_not_results	primary	worm	2018	GO:0006096	glycolytic process	1.0000	1.0000	0.0000	16
synthetic_mock_not_results	primary	worm	2019	GO:0006096	glycolytic process	1.1772	0.5583	0.2531	17
synthetic_mock_not_results	primary	worm	2020	GO:0006096	glycolytic process	1.7214	0.0932	1.0306	23
synthetic_mock_not_results	primary	worm	2021	GO:0006096	glycolytic process	2.3031	0.0138	1.8616	29
synthetic_mock_not_results	primary	worm	2022	GO:0006096	glycolytic process	2.7384	0.0033	2.4835	33
synthetic_mock_not_results	primary	worm	2023	GO:0006096	glycolytic process	2.8896	0.0020	2.6995	34
synthetic_mock_not_results	primary	worm	2024	GO:0006096	glycolytic process	2.7090	0.0036	2.4414	33
synthetic_mock_not_results	primary	worm	2025	GO:0006096	glycolytic process	2.2535	0.0162	1.7907	28
synthetic_mock_not_results	primary	worm	2015	GO:0006629	lipid metabolic process	1.0000	1.0000	0.0000	17
synthetic_mock_not_results	primary	worm	2016	GO:0006629	lipid metabolic process	1.0000	1.0000	0.0000	17
synthetic_mock_not_results	primary	worm	2017	GO:0006629	lipid metabolic process	1.0000	1.0000	0.0000	17
synthetic_mock_not_results	primary	worm	2018	GO:0006629	lipid metabolic process	1.4088	0.2606	0.5840	21
synthetic_mock_not_results	primary	worm	2019	GO:0006629	lipid metabolic process	1.9936	0.0381	1.4194	26
synthetic_mock_not_results	primary	worm	2020	GO:0006629	lipid metabolic process	2.5298	0.0065	2.1855	32
synthetic_mock_not_results	primary	worm	2021	GO:0006629	lipid metabolic process	2.8479	0.0023	2.6399	35
synthetic_mock_not_results	primary	worm	2022	GO:0006629	lipid metabolic process	2.8473	0.0023	2.6391	35
synthetic_mock_not_results	primary	worm	2023	GO:0006629	lipid metabolic process	2.5282	0.0066	2.1832	32
synthetic_mock_not_results	primary	worm	2024	GO:0006629	lipid metabolic process	1.9915	0.0383	1.4164	26
synthetic_mock_not_results	primary	worm	2025	GO:0006629	lipid metabolic process	1.4069	0.2623	0.5812	21
synthetic_mock_not_results	primary	worm	2015	GO:0006355	regulation of transcription	1.0000	1.0000	0.0000	18
synthetic_mock_not_results	primary	worm	2016	GO:0006355	regulation of transcription	1.1373	0.6366	0.1961	19
synthetic_mock_not_results	primary	worm	2017	GO:0006355	regulation of transcription	1.6694	0.1106	0.9563	24
synthetic_mock_not_results	primary	worm	2018	GO:0006355	regulation of transcription	2.2555	0.0161	1.7935	30
synthetic_mock_not_results	primary	worm	2019	GO:0006355	regulation of transcription	2.7102	0.0036	2.4431	35
synthetic_mock_not_results	primary	worm	2020	GO:0006355	regulation of transcription	2.8897	0.0020	2.6996	36
synthetic_mock_not_results	primary	worm	2021	GO:0006355	regulation of transcription	2.7373	0.0033	2.4819	35
synthetic_mock_not_results	primary	worm	2022	GO:0006355	regulation of transcription	2.3012	0.0138	1.8589	31
synthetic_mock_not_results	primary	worm	2023	GO:0006355	regulation of transcription	1.7193	0.0939	1.0275	25
synthetic_mock_not_results	primary	worm	2024	GO:0006355	regulation of transcription	1.1755	0.5614	0.2507	19
synthetic_mock_not_results	primary	worm	2025	GO:0006355	regulation of transcription	1.0000	1.0000	0.0000	18
synthetic_mock_not_results	primary	worm	2015	GO:0006974	response to DNA damage	1.3615	0.3045	0.5164	22
synthetic_mock_not_results	primary	worm	2016	GO:0006974	response to DNA damage	1.9415	0.0452	1.3450	28
synthetic_mock_not_results	primary	worm	2017	GO:0006974	response to DNA damage	2.4894	0.0075	2.1277	33
synthetic_mock_not_results	primary	worm	2018	GO:0006974	response to DNA damage	2.8320	0.0024	2.6171	37
synthetic_mock_not_results	primary	worm	2019	GO:0006974	response to DNA damage	2.8609	0.0022	2.6584	37
synthetic_mock_not_results	primary	worm	2020	GO:0006974	response to DNA damage	2.5670	0.0058	2.2386	34
synthetic_mock_not_results	primary	worm	2021	GO:0006974	response to DNA damage	2.0432	0.0323	1.4903	29
synthetic_mock_not_results	primary	worm	2022	GO:0006974	response to DNA damage	1.4552	0.2237	0.6503	23
synthetic_mock_not_results	primary	worm	2023	GO:0006974	response to DNA damage	1.0000	1.0000	0.0000	19
synthetic_mock_not_results	primary	worm	2024	GO:0006974	response to DNA damage	1.0000	1.0000	0.0000	19
synthetic_mock_not_results	primary	worm	2025	GO:0006974	response to DNA damage	1.0000	1.0000	0.0000	19
