data_status	organism	year	track	model_consensus_average_precision	between_model_sd
synthetic_mock_not_results	worm	2025	fixed_2025_is_a	0.5939	0.0272
synthetic_mock_not_results	yeast	2015	primary	0.7356	0.0250
synthetic_mock_not_results	yeast	2015	fixed_2025	0.7557	0.0277
synthetic_mock_not_results	yeast	2015	is_a_only	0.7276	0.0250
synthetic_mock_not_results	yeast	2015	fixed_2025_is_a	0.7441	0.0272
synthetic_mock_not_results	yeast	2016	primary	0.7334	0.0327
synthetic_mock_not_results	yeast	2016	fixed_2025	0.7547	0.0313
synthetic_mock_not_results	yeast	2016	is_a_only	0.7254	0.0327
synthetic_mock_not_results	yeast	2016	fixed_2025_is_a	0.7428	0.0315
synthetic_mock_not_results	yeast	2017	primary	0.7504	0.0424
synthetic_mock_not_results	yeast	2017	fixed_2025	0.7624	0.0352
synthetic_mock_not_results	yeast	2017	is_a_only	0.7424	0.0424
synthetic_mock_not_results	yeast	2017	fixed_2025_is_a	0.7522	0.0364
synthetic_mock_not_results	yeast	2024	primary	0.7680	0.0263
synthetic_mock_not_results	yeast	2024	fixed_2025	0.7545	0.0285
synthetic_mock_not_results	yeast	2024	is_a_only	0.7600	0.0263
synthetic_mock_not_results	yeast	2024	fixed_2025_is_a	0.7426	0.0281
synthetic_mock_not_results	yeast	2025	primary	0.7364	0.0356
synthetic_mock_not_results	yeast	2025	fixed_2025	0.7561	0.0325
synthetic_mock_not_results	yeast	2025	is_a_only	0.7284	0.0356
synthetic_mock_not_results	yeast	2025	fixed_2025_is_a	0.7445	0.0330
