data_status	track	organism	dataset	year	n_genes	n_features	gaf_annotation_rows	positive_rate	density	previous_year_gene_jaccard
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2024	2024	8716	8984	262351	0.3162	0.0034	0.9561425863012861
synthetic_mock_not_results	fixed_2025_is_a	mouse	mouse-2025	2025	8818	9136	272476	0.3263	0.0034	0.9525224387961846
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2010	2010	13536	4493	278841	0.2125	0.0046	
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2011	2011	13507	4741	289049	0.1993	0.0045	0.9571579545887717
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2012	2012	13520	5053	300144	0.1922	0.0044	0.9486540690418075
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2013	2013	13616	5412	313168	0.1954	0.0042	0.950581580093364
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2014	2014	13805	5791	328558	0.2071	0.0041	0.9588316570281872
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2015	2015	14064	6159	345974	0.2204	0.0040	0.9493190632899334
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2016	2016	14345	6487	364363	0.2277	0.0039	0.9496264735052515
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2017	2017	14591	6754	382284	0.2248	0.0039	0.9594712561398729
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2018	2018	14759	6955	398493	0.2133	0.0039	0.9501978365589321
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2019	2019	14834	7096	412385	0.1999	0.0039	0.9488789931204622
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2020	2020	14832	7197	424195	0.1923	0.0040	0.9577847521198884
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2021	2021	14801	7288	435149	0.1950	0.0040	0.9512728001958497
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2022	2022	14797	7400	446869	0.2063	0.0041	0.9483540997639798
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2023	2023	14865	7560	460815	0.2198	0.0041	0.9561425863012861
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2024	2024	15027	7783	477858	0.2276	0.0041	0.9525224387961846
synthetic_mock_not_results	fixed_2025_is_a	worm	worm-2025	2025	15269	8073	497769	0.2252	0.0040	0.9480622991799029
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2010	2010	4503	3697	100416	0.1464	0.0060	
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2011	2011	4566	4060	105474	0.1420	0.0057	0.9486540690418075
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2012	2012	4722	4439	112855	0.1481	0.0054	0.950581580093364
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2013	2013	4961	4804	122536	0.1610	0.0051	0.9588316570281872
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2014	2014	5240	5125	133620	0.1734	0.0050	0.9493190632899334
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2015	2015	5505	5384	144781	0.1780	0.0049	0.9496264735052515
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2016	2016	5705	5576	154605	0.1722	0.0049	0.9594712561398729
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2017	2017	5812	5710	162154	0.1594	0.0049	0.9501978365589321
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2018	2018	5834	5809	167435	0.1469	0.0049	0.9488789931204622
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2019	2019	5808	5901	171336	0.1420	0.0050	0.9577847521198884
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2020	2020	5787	6017	175346	0.1475	0.0050	0.9512728001958497
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2021	2021	5825	6185	181157	0.1602	0.0050	0.9483540997639798
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2022	2022	5953	6417	189900	0.1728	0.0050	0.9561425863012861
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2023	2023	6170	6714	201758	0.1780	0.0049	0.9525224387961846
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2024	2024	6443	7064	215840	0.1728	0.0047	0.9480622991799029
synthetic_mock_not_results	fixed_2025_is_a	yeast	yeast-2025	2025	6718	7441	230427	0.1601	0.0046	0.9545776266440905
