data_status	track	organism	panel	dataset	year	model	n_folds	n_repeats	average_precision_mean	average_precision_sd	average_precision_ci95_low	average_precision_ci95_high	mcc_mean	balanced_accuracy_mean	lethal_f1_mean	fit_warnings
synthetic_mock_not_results	primary	fish	full	fish-2016	2016	nn	5	5	0.6775	0.0155	0.6435	0.7115	0.3925	0.6736	0.5825	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2016	2016	dt	5	5	0.6127	0.0118	0.5867	0.6387	0.3277	0.6392	0.5177	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2016	2016	rf	5	5	0.7036	0.0136	0.6736	0.7336	0.4186	0.6874	0.6086	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2016	2016	gb	5	5	0.6988	0.0155	0.6648	0.7328	0.4138	0.6849	0.6038	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2016	2016	lr	5	5	0.6830	0.0118	0.6570	0.7090	0.3980	0.6765	0.5880	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2016	2016	svm	5	5	0.6938	0.0136	0.6638	0.7238	0.4088	0.6822	0.5988	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2016	2016	nn	5	5	0.6995	0.0155	0.6655	0.7335	0.4145	0.6852	0.6045	0
synthetic_mock_not_results	primary	fish	full	fish-2017	2017	dt	5	5	0.6056	0.0136	0.5756	0.6356	0.3206	0.6355	0.5106	0
synthetic_mock_not_results	primary	fish	full	fish-2017	2017	rf	5	5	0.6886	0.0155	0.6546	0.7226	0.4036	0.6794	0.5936	0
synthetic_mock_not_results	primary	fish	full	fish-2017	2017	gb	5	5	0.6753	0.0118	0.6493	0.7013	0.3903	0.6724	0.5803	0
synthetic_mock_not_results	primary	fish	full	fish-2017	2017	lr	5	5	0.6510	0.0136	0.6210	0.6810	0.3660	0.6595	0.5560	0
synthetic_mock_not_results	primary	fish	full	fish-2017	2017	svm	5	5	0.6542	0.0155	0.6202	0.6882	0.3692	0.6612	0.5592	0
synthetic_mock_not_results	primary	fish	full	fish-2017	2017	nn	5	5	0.6535	0.0118	0.6275	0.6795	0.3685	0.6609	0.5585	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2017	2017	dt	5	5	0.6276	0.0136	0.5976	0.6576	0.3426	0.6471	0.5326	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2017	2017	rf	5	5	0.7106	0.0155	0.6766	0.7446	0.4256	0.6911	0.6156	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2017	2017	gb	5	5	0.6973	0.0118	0.6713	0.7233	0.4123	0.6841	0.6023	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2017	2017	lr	5	5	0.6730	0.0136	0.6430	0.7030	0.3880	0.6712	0.5780	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2017	2017	svm	5	5	0.6762	0.0155	0.6422	0.7102	0.3912	0.6729	0.5812	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2017	2017	nn	5	5	0.6755	0.0118	0.6495	0.7015	0.3905	0.6725	0.5805	0
synthetic_mock_not_results	primary	fish	full	fish-2018	2018	dt	5	5	0.6334	0.0155	0.5994	0.6674	0.3484	0.6502	0.5384	0
synthetic_mock_not_results	primary	fish	full	fish-2018	2018	rf	5	5	0.7084	0.0118	0.6824	0.7344	0.4234	0.6899	0.6134	0
synthetic_mock_not_results	primary	fish	full	fish-2018	2018	gb	5	5	0.6882	0.0136	0.6582	0.7182	0.4032	0.6793	0.5932	0
synthetic_mock_not_results	primary	fish	full	fish-2018	2018	lr	5	5	0.6587	0.0155	0.6247	0.6927	0.3737	0.6636	0.5637	0
synthetic_mock_not_results	primary	fish	full	fish-2018	2018	svm	5	5	0.6586	0.0118	0.6326	0.6846	0.3736	0.6635	0.5636	0
synthetic_mock_not_results	primary	fish	full	fish-2018	2018	nn	5	5	0.6568	0.0136	0.6268	0.6868	0.3718	0.6626	0.5618	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2018	2018	dt	5	5	0.6554	0.0155	0.6214	0.6894	0.3704	0.6619	0.5604	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2018	2018	rf	5	5	0.7304	0.0118	0.7044	0.7564	0.4454	0.7016	0.6354	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2018	2018	gb	5	5	0.7102	0.0136	0.6802	0.7402	0.4252	0.6909	0.6152	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2018	2018	lr	5	5	0.6807	0.0155	0.6467	0.7147	0.3957	0.6753	0.5857	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2018	2018	svm	5	5	0.6806	0.0118	0.6546	0.7066	0.3956	0.6752	0.5856	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2018	2018	nn	5	5	0.6788	0.0136	0.6488	0.7088	0.3938	0.6743	0.5838	0
synthetic_mock_not_results	primary	fish	full	fish-2019	2019	dt	5	5	0.5726	0.0118	0.5466	0.5986	0.2876	0.6180	0.4776	0
synthetic_mock_not_results	primary	fish	full	fish-2019	2019	rf	5	5	0.6436	0.0136	0.6136	0.6736	0.3586	0.6556	0.5486	0
synthetic_mock_not_results	primary	fish	full	fish-2019	2019	gb	5	5	0.6216	0.0155	0.5876	0.6556	0.3366	0.6440	0.5266	0
synthetic_mock_not_results	primary	fish	full	fish-2019	2019	lr	5	5	0.5925	0.0118	0.5665	0.6185	0.3075	0.6285	0.4975	0
synthetic_mock_not_results	primary	fish	full	fish-2019	2019	svm	5	5	0.5951	0.0136	0.5651	0.6251	0.3101	0.6299	0.5001	0
synthetic_mock_not_results	primary	fish	full	fish-2019	2019	nn	5	5	0.5981	0.0155	0.5641	0.6321	0.3131	0.6315	0.5031	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2019	2019	dt	5	5	0.5946	0.0118	0.5686	0.6206	0.3096	0.6297	0.4996	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2019	2019	rf	5	5	0.6656	0.0136	0.6356	0.6956	0.3806	0.6673	0.5706	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2019	2019	gb	5	5	0.6436	0.0155	0.6096	0.6776	0.3586	0.6556	0.5486	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2019	2019	lr	5	5	0.6145	0.0118	0.5885	0.6405	0.3295	0.6402	0.5195	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2019	2019	svm	5	5	0.6171	0.0136	0.5871	0.6471	0.3321	0.6416	0.5221	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2019	2019	nn	5	5	0.6201	0.0155	0.5861	0.6541	0.3351	0.6432	0.5251	0
synthetic_mock_not_results	primary	fish	full	fish-2020	2020	dt	5	5	0.5411	0.0136	0.5111	0.5711	0.2561	0.6013	0.4461	0
synthetic_mock_not_results	primary	fish	full	fish-2020	2020	rf	5	5	0.6140	0.0155	0.5800	0.6480	0.3290	0.6399	0.5190	0
synthetic_mock_not_results	primary	fish	full	fish-2020	2020	gb	5	5	0.5962	0.0118	0.5702	0.6222	0.3112	0.6305	0.5012	0
synthetic_mock_not_results	primary	fish	full	fish-2020	2020	lr	5	5	0.5730	0.0136	0.5430	0.6030	0.2880	0.6182	0.4780	0
synthetic_mock_not_results	primary	fish	full	fish-2020	2020	svm	5	5	0.5830	0.0155	0.5490	0.6170	0.2980	0.6235	0.4880	0
synthetic_mock_not_results	primary	fish	full	fish-2020	2020	nn	5	5	0.5943	0.0118	0.5683	0.6203	0.3093	0.6295	0.4993	1
synthetic_mock_not_results	primary	fish	matched_both	fish-2020	2020	dt	5	5	0.5631	0.0136	0.5331	0.5931	0.2781	0.6129	0.4681	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2020	2020	rf	5	5	0.6360	0.0155	0.6020	0.6700	0.3510	0.6516	0.5410	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2020	2020	gb	5	5	0.6182	0.0118	0.5922	0.6442	0.3332	0.6421	0.5232	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2020	2020	lr	5	5	0.5950	0.0136	0.5650	0.6250	0.3100	0.6299	0.5000	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2020	2020	svm	5	5	0.6050	0.0155	0.5710	0.6390	0.3200	0.6352	0.5100	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2020	2020	nn	5	5	0.6163	0.0118	0.5903	0.6423	0.3313	0.6411	0.5213	1
synthetic_mock_not_results	primary	fish	full	fish-2021	2021	dt	5	5	0.5544	0.0155	0.5204	0.5884	0.2694	0.6083	0.4594	0
synthetic_mock_not_results	primary	fish	full	fish-2021	2021	rf	5	5	0.6343	0.0118	0.6083	0.6603	0.3493	0.6507	0.5393	0
synthetic_mock_not_results	primary	fish	full	fish-2021	2021	gb	5	5	0.6245	0.0136	0.5945	0.6545	0.3395	0.6455	0.5295	0
synthetic_mock_not_results	primary	fish	full	fish-2021	2021	lr	5	5	0.6099	0.0155	0.5759	0.6439	0.3249	0.6377	0.5149	0
synthetic_mock_not_results	primary	fish	full	fish-2021	2021	svm	5	5	0.6282	0.0118	0.6022	0.6542	0.3432	0.6475	0.5332	0
synthetic_mock_not_results	primary	fish	full	fish-2021	2021	nn	5	5	0.6471	0.0136	0.6171	0.6771	0.3621	0.6575	0.5521	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2021	2021	dt	5	5	0.5764	0.0155	0.5424	0.6104	0.2914	0.6200	0.4814	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2021	2021	rf	5	5	0.6563	0.0118	0.6303	0.6823	0.3713	0.6624	0.5613	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2021	2021	gb	5	5	0.6465	0.0136	0.6165	0.6765	0.3615	0.6571	0.5515	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2021	2021	lr	5	5	0.6319	0.0155	0.5979	0.6659	0.3469	0.6494	0.5369	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2021	2021	svm	5	5	0.6502	0.0118	0.6242	0.6762	0.3652	0.6591	0.5552	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2021	2021	nn	5	5	0.6691	0.0136	0.6391	0.6991	0.3841	0.6691	0.5741	0
synthetic_mock_not_results	primary	fish	full	fish-2022	2022	dt	5	5	0.5184	0.0118	0.4924	0.5444	0.2334	0.5892	0.4234	0
synthetic_mock_not_results	primary	fish	full	fish-2022	2022	rf	5	5	0.6068	0.0136	0.5768	0.6368	0.3218	0.6361	0.5118	0
synthetic_mock_not_results	primary	fish	full	fish-2022	2022	gb	5	5	0.6049	0.0155	0.5709	0.6389	0.3199	0.6351	0.5099	0
synthetic_mock_not_results	primary	fish	full	fish-2022	2022	lr	5	5	0.5971	0.0118	0.5711	0.6231	0.3121	0.6310	0.5021	0
synthetic_mock_not_results	primary	fish	full	fish-2022	2022	svm	5	5	0.6207	0.0136	0.5907	0.6507	0.3357	0.6435	0.5257	0
synthetic_mock_not_results	primary	fish	full	fish-2022	2022	nn	5	5	0.6428	0.0155	0.6088	0.6768	0.3578	0.6552	0.5478	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2022	2022	dt	5	5	0.5404	0.0118	0.5144	0.5664	0.2554	0.6009	0.4454	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2022	2022	rf	5	5	0.6288	0.0136	0.5988	0.6588	0.3438	0.6478	0.5338	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2022	2022	gb	5	5	0.6269	0.0155	0.5929	0.6609	0.3419	0.6468	0.5319	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2022	2022	lr	5	5	0.6191	0.0118	0.5931	0.6451	0.3341	0.6426	0.5241	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2022	2022	svm	5	5	0.6427	0.0136	0.6127	0.6727	0.3577	0.6551	0.5477	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2022	2022	nn	5	5	0.6648	0.0155	0.6308	0.6988	0.3798	0.6668	0.5698	0
synthetic_mock_not_results	primary	fish	full	fish-2023	2023	dt	5	5	0.5385	0.0136	0.5085	0.5685	0.2535	0.5999	0.4435	0
synthetic_mock_not_results	primary	fish	full	fish-2023	2023	rf	5	5	0.6327	0.0155	0.5987	0.6667	0.3477	0.6498	0.5377	0
synthetic_mock_not_results	primary	fish	full	fish-2023	2023	gb	5	5	0.6348	0.0118	0.6088	0.6608	0.3498	0.6509	0.5398	0
synthetic_mock_not_results	primary	fish	full	fish-2023	2023	lr	5	5	0.6287	0.0136	0.5987	0.6587	0.3437	0.6477	0.5337	0
synthetic_mock_not_results	primary	fish	full	fish-2023	2023	svm	5	5	0.6518	0.0155	0.6178	0.6858	0.3668	0.6599	0.5568	0
synthetic_mock_not_results	primary	fish	full	fish-2023	2023	nn	5	5	0.6711	0.0118	0.6451	0.6971	0.3861	0.6702	0.5761	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2023	2023	dt	5	5	0.5605	0.0136	0.5305	0.5905	0.2755	0.6116	0.4655	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2023	2023	rf	5	5	0.6547	0.0155	0.6207	0.6887	0.3697	0.6615	0.5597	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2023	2023	gb	5	5	0.6568	0.0118	0.6308	0.6828	0.3718	0.6626	0.5618	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2023	2023	lr	5	5	0.6507	0.0136	0.6207	0.6807	0.3657	0.6594	0.5557	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2023	2023	svm	5	5	0.6738	0.0155	0.6398	0.7078	0.3888	0.6716	0.5788	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2023	2023	nn	5	5	0.6931	0.0118	0.6671	0.7191	0.4081	0.6818	0.5981	0
synthetic_mock_not_results	primary	fish	full	fish-2024	2024	dt	5	5	0.6048	0.0155	0.5708	0.6388	0.3198	0.6350	0.5098	0
synthetic_mock_not_results	primary	fish	full	fish-2024	2024	rf	5	5	0.6993	0.0118	0.6733	0.7253	0.4143	0.6851	0.6043	0
synthetic_mock_not_results	primary	fish	full	fish-2024	2024	gb	5	5	0.6992	0.0136	0.6692	0.7292	0.4142	0.6851	0.6042	0
synthetic_mock_not_results	primary	fish	full	fish-2024	2024	lr	5	5	0.6890	0.0155	0.6550	0.7230	0.4040	0.6797	0.5940	0
synthetic_mock_not_results	primary	fish	full	fish-2024	2024	svm	5	5	0.7061	0.0118	0.6801	0.7321	0.4211	0.6887	0.6111	0
synthetic_mock_not_results	primary	fish	full	fish-2024	2024	nn	5	5	0.7180	0.0136	0.6880	0.7480	0.4330	0.6950	0.6230	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2024	2024	dt	5	5	0.6268	0.0155	0.5928	0.6608	0.3418	0.6467	0.5318	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2024	2024	rf	5	5	0.7213	0.0118	0.6953	0.7473	0.4363	0.6968	0.6263	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2024	2024	gb	5	5	0.7212	0.0136	0.6912	0.7512	0.4362	0.6968	0.6262	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2024	2024	lr	5	5	0.7110	0.0155	0.6770	0.7450	0.4260	0.6913	0.6160	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2024	2024	svm	5	5	0.7281	0.0118	0.7021	0.7541	0.4431	0.7004	0.6331	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2024	2024	nn	5	5	0.7400	0.0136	0.7100	0.7700	0.4550	0.7067	0.6450	0
synthetic_mock_not_results	primary	fish	full	fish-2025	2025	dt	5	5	0.5967	0.0118	0.5707	0.6227	0.3117	0.6308	0.5017	0
synthetic_mock_not_results	primary	fish	full	fish-2025	2025	rf	5	5	0.6857	0.0136	0.6557	0.7157	0.4007	0.6779	0.5907	0
synthetic_mock_not_results	primary	fish	full	fish-2025	2025	gb	5	5	0.6787	0.0155	0.6447	0.7127	0.3937	0.6742	0.5837	0
synthetic_mock_not_results	primary	fish	full	fish-2025	2025	lr	5	5	0.6605	0.0118	0.6345	0.6865	0.3755	0.6645	0.5655	0
synthetic_mock_not_results	primary	fish	full	fish-2025	2025	svm	5	5	0.6690	0.0136	0.6390	0.6990	0.3840	0.6691	0.5740	0
synthetic_mock_not_results	primary	fish	full	fish-2025	2025	nn	5	5	0.6725	0.0155	0.6385	0.7065	0.3875	0.6709	0.5775	1
synthetic_mock_not_results	primary	fish	matched_both	fish-2025	2025	dt	5	5	0.6187	0.0118	0.5927	0.6447	0.3337	0.6424	0.5237	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2025	2025	rf	5	5	0.7077	0.0136	0.6777	0.7377	0.4227	0.6896	0.6127	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2025	2025	gb	5	5	0.7007	0.0155	0.6667	0.7347	0.4157	0.6859	0.6057	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2025	2025	lr	5	5	0.6825	0.0118	0.6565	0.7085	0.3975	0.6762	0.5875	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2025	2025	svm	5	5	0.6910	0.0136	0.6610	0.7210	0.4060	0.6807	0.5960	0
synthetic_mock_not_results	primary	fish	matched_both	fish-2025	2025	nn	5	5	0.6945	0.0155	0.6605	0.7285	0.4095	0.6826	0.5995	1
synthetic_mock_not_results	primary	fly	full	fly-2015	2015	dt	5	5	0.6562	0.0155	0.6222	0.6902	0.3712	0.6623	0.5612	0
synthetic_mock_not_results	primary	fly	full	fly-2015	2015	rf	5	5	0.7454	0.0118	0.7194	0.7714	0.4604	0.7096	0.6504	0
synthetic_mock_not_results	primary	fly	full	fly-2015	2015	gb	5	5	0.7386	0.0136	0.7086	0.7686	0.4536	0.7060	0.6436	0
synthetic_mock_not_results	primary	fly	full	fly-2015	2015	lr	5	5	0.7206	0.0155	0.6866	0.7546	0.4356	0.6964	0.6256	0
synthetic_mock_not_results	primary	fly	full	fly-2015	2015	svm	5	5	0.7293	0.0118	0.7033	0.7553	0.4443	0.7010	0.6343	0
synthetic_mock_not_results	primary	fly	full	fly-2015	2015	nn	5	5	0.7330	0.0136	0.7030	0.7630	0.4480	0.7030	0.6380	1
synthetic_mock_not_results	primary	fly	matched_both	fly-2015	2015	dt	5	5	0.6782	0.0155	0.6442	0.7122	0.3932	0.6740	0.5832	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2015	2015	rf	5	5	0.7674	0.0118	0.7414	0.7934	0.4824	0.7212	0.6724	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2015	2015	gb	5	5	0.7606	0.0136	0.7306	0.7906	0.4756	0.7176	0.6656	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2015	2015	lr	5	5	0.7426	0.0155	0.7086	0.7766	0.4576	0.7081	0.6476	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2015	2015	svm	5	5	0.7513	0.0118	0.7253	0.7773	0.4663	0.7127	0.6563	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2015	2015	nn	5	5	0.7550	0.0136	0.7250	0.7850	0.4700	0.7147	0.6600	1
synthetic_mock_not_results	primary	fly	full	fly-2016	2016	dt	5	5	0.6659	0.0118	0.6399	0.6919	0.3809	0.6675	0.5709	0
synthetic_mock_not_results	primary	fly	full	fly-2016	2016	rf	5	5	0.7467	0.0136	0.7167	0.7767	0.4617	0.7103	0.6517	0
synthetic_mock_not_results	primary	fly	full	fly-2016	2016	gb	5	5	0.7314	0.0155	0.6974	0.7654	0.4464	0.7021	0.6364	0
synthetic_mock_not_results	primary	fly	full	fly-2016	2016	lr	5	5	0.7054	0.0118	0.6794	0.7314	0.4204	0.6884	0.6104	0
synthetic_mock_not_results	primary	fly	full	fly-2016	2016	svm	5	5	0.7072	0.0136	0.6772	0.7372	0.4222	0.6893	0.6122	0
synthetic_mock_not_results	primary	fly	full	fly-2016	2016	nn	5	5	0.7057	0.0155	0.6717	0.7397	0.4207	0.6885	0.6107	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2016	2016	dt	5	5	0.6879	0.0118	0.6619	0.7139	0.4029	0.6791	0.5929	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2016	2016	rf	5	5	0.7687	0.0136	0.7387	0.7987	0.4837	0.7219	0.6737	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2016	2016	gb	5	5	0.7534	0.0155	0.7194	0.7874	0.4684	0.7138	0.6584	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2016	2016	lr	5	5	0.7274	0.0118	0.7014	0.7534	0.4424	0.7000	0.6324	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2016	2016	svm	5	5	0.7292	0.0136	0.6992	0.7592	0.4442	0.7010	0.6342	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2016	2016	nn	5	5	0.7277	0.0155	0.6937	0.7617	0.4427	0.7002	0.6327	0
synthetic_mock_not_results	primary	fly	full	fly-2017	2017	dt	5	5	0.6533	0.0136	0.6233	0.6833	0.3683	0.6608	0.5583	0
synthetic_mock_not_results	primary	fly	full	fly-2017	2017	rf	5	5	0.7268	0.0155	0.6928	0.7608	0.4418	0.6997	0.6318	0
synthetic_mock_not_results	primary	fly	full	fly-2017	2017	gb	5	5	0.7056	0.0118	0.6796	0.7316	0.4206	0.6885	0.6106	0
synthetic_mock_not_results	primary	fly	full	fly-2017	2017	lr	5	5	0.6756	0.0136	0.6456	0.7056	0.3906	0.6726	0.5806	0
synthetic_mock_not_results	primary	fly	full	fly-2017	2017	svm	5	5	0.6756	0.0155	0.6416	0.7096	0.3906	0.6726	0.5806	0
synthetic_mock_not_results	primary	fly	full	fly-2017	2017	nn	5	5	0.6745	0.0118	0.6485	0.7005	0.3895	0.6720	0.5795	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2017	2017	dt	5	5	0.6753	0.0136	0.6453	0.7053	0.3903	0.6724	0.5803	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2017	2017	rf	5	5	0.7488	0.0155	0.7148	0.7828	0.4638	0.7114	0.6538	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2017	2017	gb	5	5	0.7276	0.0118	0.7016	0.7536	0.4426	0.7001	0.6326	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2017	2017	lr	5	5	0.6976	0.0136	0.6676	0.7276	0.4126	0.6842	0.6026	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2017	2017	svm	5	5	0.6976	0.0155	0.6636	0.7316	0.4126	0.6842	0.6026	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2017	2017	nn	5	5	0.6965	0.0118	0.6705	0.7225	0.4115	0.6837	0.6015	0
synthetic_mock_not_results	primary	fly	full	fly-2018	2018	dt	5	5	0.6597	0.0155	0.6257	0.6937	0.3747	0.6641	0.5647	0
synthetic_mock_not_results	primary	fly	full	fly-2018	2018	rf	5	5	0.7306	0.0118	0.7046	0.7566	0.4456	0.7017	0.6356	0
synthetic_mock_not_results	primary	fly	full	fly-2018	2018	gb	5	5	0.7091	0.0136	0.6791	0.7391	0.4241	0.6903	0.6141	0
synthetic_mock_not_results	primary	fly	full	fly-2018	2018	lr	5	5	0.6810	0.0155	0.6470	0.7150	0.3960	0.6755	0.5860	0
synthetic_mock_not_results	primary	fly	full	fly-2018	2018	svm	5	5	0.6852	0.0118	0.6592	0.7112	0.4002	0.6776	0.5902	0
synthetic_mock_not_results	primary	fly	full	fly-2018	2018	nn	5	5	0.6900	0.0136	0.6600	0.7200	0.4050	0.6802	0.5950	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2018	2018	dt	5	5	0.6817	0.0155	0.6477	0.7157	0.3967	0.6758	0.5867	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2018	2018	rf	5	5	0.7526	0.0118	0.7266	0.7786	0.4676	0.7134	0.6576	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2018	2018	gb	5	5	0.7311	0.0136	0.7011	0.7611	0.4461	0.7020	0.6361	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2018	2018	lr	5	5	0.7030	0.0155	0.6690	0.7370	0.4180	0.6871	0.6080	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2018	2018	svm	5	5	0.7072	0.0118	0.6812	0.7332	0.4222	0.6893	0.6122	0
synthetic_mock_not_results	primary	fly	matched_both	fly-2018	2018	nn	5	5	0.7120	0.0136	0.6820	0.7420	0.4270	0.6919	0.6170	0
synthetic_mock_not_results	primary	fly	full	fly-2019	2019	dt	5	5	0.5942	0.0118	0.5682	0.6202	0.3092	0.6294	0.4992	0
synthetic_mock_not_results	primary	fly	full	fly-2019	2019	rf	5	5	0.6685	0.0136	0.6385	0.6985	0.3835	0.6688	0.5735	0
synthetic_mock_not_results	primary	fly	full	fly-2019	2019	gb	5	5	0.6524	0.0155	0.6184	0.6864	0.3674	0.6603	0.5574	0
synthetic_mock_not_results	primary	fly	full	fly-2019	2019	lr	5	5	0.6313	0.0118	0.6053	0.6573	0.3463	0.6491	0.5363	0
synthetic_mock_not_results	primary	fly	full	fly-2019	2019	svm	5	5	0.6435	0.0136	0.6135	0.6735	0.3585	0.6555	0.5485	0
